transaction_id,customer_id,transaction_date,amount,card_type,channel,merchant_category,is_fraud,fraud_amount,address_state,credit_score,card_brand,auth_method,currency
1,7337,2026-07-24,164.98,debit,POS,dining,0,0.0,IN,827,mastercard,online,USD
2,2576,2026-12-24,53.16,credit,POS,electronics,0,0.0,IN,728,visa,swipe,USD
3,6638,2026-05-26,23.12,credit,POS,utilities,0,0.0,NY,714,amex,online,USD
4,13897,2026-08-24,134.22,credit,POS,retail,0,0.0,IL,695,mastercard,chip,USD
5,11799,2026-11-21,14.76,credit,POS,fuel,0,0.0,GA,677,amex,contactless,USD
6,14636,2026-01-09,87.75,debit,POS,dining,0,0.0,NY,722,amex,contactless,USD
7,2515,2026-11-11,95.74,debit,ONLINE,electronics,0,0.0,CA,709,amex,chip,USD
8,1100,2026-02-24,14.38,credit,ATM,dining,0,0.0,MA,793,mastercard,chip,USD
9,14697,2026-04-07,41.73,credit,POS,dining,0,0.0,NY,795,discover,contactless,USD
10,11528,2026-05-21,9.43,credit,ONLINE,grocery,0,0.0,IL,728,visa,swipe,USD
11,4771,2026-11-19,22.47,credit,POS,retail,0,0.0,FL,715,visa,online,USD
12,434,2026-10-22,18.04,credit,ONLINE,utilities,0,0.0,AZ,562,visa,chip,USD
13,6752,2026-02-13,90.37,credit,POS,electronics,0,0.0,IN,689,mastercard,online,USD
14,10828,2026-08-26,74.66,credit,POS,electronics,0,0.0,NY,636,visa,chip,USD
15,2774,2026-12-16,35.54,debit,ONLINE,electronics,0,0.0,NY,687,visa,swipe,USD
16,5168,2026-12-25,24.6,debit,POS,travel,0,0.0,GA,617,visa,chip,USD
17,11072,2026-05-25,179.88,credit,ONLINE,utilities,0,0.0,NC,670,visa,swipe,USD
18,2779,2026-08-23,21.55,debit,ONLINE,grocery,0,0.0,TX,734,discover,chip,USD
19,6549,2026-08-26,54.43,credit,POS,dining,0,0.0,IL,487,mastercard,chip,USD
20,8317,2026-03-17,8.59,debit,POS,travel,0,0.0,NY,735,mastercard,online,USD
21,3701,2026-09-23,13.54,debit,POS,grocery,0,0.0,IN,696,visa,contactless,USD
22,6950,2026-12-21,40.95,credit,ONLINE,fuel,0,0.0,NC,757,discover,swipe,USD
23,2728,2026-07-02,335.67,debit,POS,electronics,0,0.0,MA,687,amex,contactless,USD
24,5316,2026-11-02,60.45,debit,ATM,dining,0,0.0,IN,780,visa,contactless,USD
25,13415,2026-09-25,90.91,credit,POS,retail,0,0.0,CA,692,amex,swipe,USD
26,6917,2026-01-08,122.0,debit,ONLINE,dining,0,0.0,MO,682,mastercard,online,USD
27,5035,2026-04-21,9.9,debit,POS,utilities,0,0.0,GA,776,visa,contactless,USD
28,13164,2026-07-17,60.79,credit,ONLINE,fuel,0,0.0,CA,715,visa,online,USD
29,4148,2026-11-15,7.7,credit,ATM,electronics,0,0.0,MD,849,mastercard,contactless,USD
30,14696,2026-08-10,53.65,debit,ONLINE,travel,0,0.0,GA,640,mastercard,contactless,USD
31,11815,2026-12-10,145.45,debit,ONLINE,retail,0,0.0,OH,714,mastercard,contactless,USD
32,8171,2026-11-21,64.59,credit,POS,utilities,0,0.0,FL,648,visa,online,USD
33,3643,2026-08-06,55.8,debit,POS,electronics,0,0.0,WI,693,visa,contactless,USD
34,4989,2026-12-21,11.96,credit,ONLINE,retail,0,0.0,FL,662,mastercard,swipe,USD
35,256,2026-11-08,46.07,credit,ONLINE,fuel,0,0.0,NJ,758,visa,swipe,USD
36,7492,2026-05-15,52.8,credit,POS,utilities,0,0.0,IL,684,mastercard,chip,USD
37,9542,2026-11-19,12.22,debit,ATM,dining,0,0.0,FL,652,visa,contactless,USD
38,5209,2026-01-25,6.85,credit,ONLINE,grocery,0,0.0,PA,670,mastercard,swipe,USD
39,3781,2026-11-03,41.55,credit,POS,utilities,0,0.0,IN,728,amex,chip,USD
40,9519,2026-06-16,15.53,credit,POS,electronics,0,0.0,CA,707,mastercard,chip,USD
41,7623,2026-09-26,57.83,debit,POS,electronics,0,0.0,CA,687,mastercard,online,USD
42,1376,2026-03-26,11.44,credit,POS,dining,0,0.0,IL,727,mastercard,contactless,USD
43,11476,2026-11-14,87.79,debit,POS,utilities,0,0.0,AZ,682,visa,online,USD
44,6266,2026-10-07,65.82,credit,POS,fuel,0,0.0,MO,613,visa,contactless,USD
45,32,2026-03-20,17.04,credit,POS,travel,0,0.0,TX,669,amex,swipe,USD
46,10691,2026-11-23,136.45,credit,POS,retail,0,0.0,VA,793,mastercard,chip,USD
47,3665,2026-07-18,97.7,credit,ONLINE,retail,0,0.0,NY,687,mastercard,online,USD
48,1589,2026-05-20,18.93,debit,ONLINE,utilities,0,0.0,IL,626,mastercard,contactless,USD
49,3311,2026-12-16,39.51,credit,POS,retail,0,0.0,CA,662,visa,online,USD
50,11315,2026-02-15,21.7,credit,POS,electronics,0,0.0,NY,599,visa,contactless,USD
51,12421,2026-08-27,44.36,debit,POS,electronics,0,0.0,FL,540,visa,swipe,USD
52,2779,2026-12-09,27.89,debit,ONLINE,travel,0,0.0,TX,734,mastercard,swipe,USD
53,3392,2026-12-27,9.01,credit,ONLINE,grocery,0,0.0,AZ,570,amex,online,USD
54,13874,2026-06-12,23.42,debit,POS,retail,0,0.0,TX,738,amex,online,USD
55,14120,2026-10-24,3.94,debit,POS,grocery,0,0.0,GA,729,visa,swipe,USD
56,14336,2026-11-01,71.33,debit,POS,utilities,0,0.0,IL,653,visa,chip,USD
57,11183,2026-04-11,370.24,debit,POS,grocery,0,0.0,IN,724,mastercard,online,USD
58,6793,2026-06-14,8.25,credit,ONLINE,travel,0,0.0,GA,726,visa,online,USD
59,12723,2026-11-11,68.48,credit,POS,fuel,0,0.0,CA,829,mastercard,contactless,USD
60,12795,2026-06-24,13.95,debit,POS,retail,0,0.0,FL,732,mastercard,online,USD
61,14058,2026-02-01,11.07,debit,POS,fuel,0,0.0,MD,752,mastercard,contactless,USD
62,11758,2026-08-17,7.38,credit,POS,grocery,0,0.0,MO,610,discover,online,USD
63,12681,2026-11-27,60.4,debit,POS,retail,0,0.0,FL,801,visa,contactless,USD
64,11000,2026-12-17,311.87,debit,POS,utilities,0,0.0,IN,750,mastercard,online,USD
65,9618,2026-12-15,18.55,debit,POS,utilities,0,0.0,FL,717,mastercard,online,USD
66,919,2026-10-26,196.11,credit,POS,electronics,0,0.0,FL,802,amex,online,USD
67,4857,2026-08-20,54.07,credit,POS,travel,0,0.0,FL,590,mastercard,online,USD
68,14843,2026-07-07,73.22,debit,ONLINE,retail,0,0.0,AZ,579,mastercard,contactless,USD
69,10102,2026-11-24,49.55,debit,POS,utilities,0,0.0,NY,623,visa,swipe,USD
70,3658,2026-06-12,17.93,debit,POS,retail,0,0.0,CA,843,mastercard,contactless,USD
71,9914,2026-11-14,6.01,debit,ATM,fuel,0,0.0,NJ,733,visa,chip,USD
72,5994,2026-12-14,18.92,credit,POS,dining,0,0.0,MI,676,visa,swipe,USD
73,367,2026-06-14,3.01,debit,ONLINE,electronics,0,0.0,TX,644,visa,contactless,USD
74,5885,2026-01-06,166.0,credit,ATM,travel,0,0.0,IL,758,mastercard,swipe,USD
75,4571,2026-05-02,12.83,credit,POS,electronics,0,0.0,MO,692,mastercard,online,USD
76,2495,2026-02-17,1.27,debit,POS,travel,0,0.0,IL,781,mastercard,swipe,USD
77,3156,2026-02-26,1351.74,debit,ONLINE,dining,0,0.0,TN,641,mastercard,online,USD
78,97,2026-09-09,107.65,credit,POS,fuel,0,0.0,TX,600,visa,online,USD
79,5676,2026-03-15,50.63,debit,POS,travel,0,0.0,NC,661,mastercard,chip,USD
80,13089,2026-03-10,48.35,credit,POS,dining,0,0.0,CA,579,mastercard,chip,USD
81,5619,2026-03-16,28.92,credit,ONLINE,travel,0,0.0,PA,702,discover,online,USD
82,7049,2026-10-11,153.33,credit,ATM,electronics,0,0.0,NY,720,amex,online,USD
83,5709,2026-07-13,42.23,credit,ONLINE,fuel,0,0.0,OH,712,visa,swipe,USD
84,9983,2026-10-25,62.02,credit,POS,fuel,0,0.0,IL,627,visa,online,USD
85,7307,2026-09-12,42.92,debit,POS,fuel,0,0.0,TX,724,mastercard,online,USD
86,11049,2026-01-25,33.61,debit,ATM,retail,0,0.0,WA,783,visa,online,USD
87,14371,2026-04-06,9.97,debit,ONLINE,electronics,0,0.0,VA,585,visa,contactless,USD
88,5437,2026-03-22,206.69,debit,POS,dining,0,0.0,TX,655,mastercard,chip,USD
89,1674,2026-01-04,56.69,credit,POS,retail,0,0.0,CA,733,visa,contactless,USD
90,6903,2026-07-21,37.93,credit,POS,utilities,0,0.0,AZ,645,mastercard,contactless,USD
91,14310,2026-04-15,42.04,credit,ONLINE,fuel,0,0.0,CA,700,visa,swipe,USD
92,13127,2026-10-04,25.0,debit,POS,fuel,0,0.0,TX,710,mastercard,online,USD
93,7255,2026-12-24,14.08,credit,ONLINE,fuel,0,0.0,MD,707,visa,swipe,USD
94,14791,2026-01-04,56.16,credit,POS,grocery,0,0.0,TX,682,mastercard,swipe,USD
95,8212,2026-03-16,22.53,debit,POS,fuel,0,0.0,PA,688,mastercard,swipe,USD
96,11321,2026-01-07,32.14,debit,ONLINE,grocery,0,0.0,PA,564,visa,chip,USD
97,3539,2026-12-07,18.59,debit,ATM,fuel,0,0.0,MI,764,visa,online,USD
98,7554,2026-09-12,18.06,credit,POS,grocery,0,0.0,NY,750,mastercard,chip,USD
99,4421,2026-12-06,31.07,credit,ATM,retail,0,0.0,NY,786,mastercard,contactless,USD
100,5801,2026-03-27,12.44,credit,ONLINE,dining,0,0.0,MA,664,amex,online,USD
101,10322,2026-06-06,136.35,credit,POS,utilities,0,0.0,NJ,673,visa,chip,USD
102,9278,2026-12-18,47.06,debit,ONLINE,utilities,0,0.0,NY,627,mastercard,swipe,USD
103,5575,2026-04-25,64.03,debit,ONLINE,retail,0,0.0,TX,784,visa,swipe,USD
104,486,2026-07-19,35.14,debit,ONLINE,fuel,0,0.0,NJ,687,visa,online,USD
105,610,2026-03-08,9.19,credit,POS,utilities,0,0.0,CA,740,amex,chip,USD
106,8083,2026-01-12,11.84,debit,POS,travel,0,0.0,FL,791,mastercard,swipe,USD
107,8149,2026-07-07,56.41,credit,ONLINE,utilities,0,0.0,OH,733,mastercard,online,USD
108,5595,2026-07-26,74.09,debit,ATM,fuel,0,0.0,FL,734,mastercard,swipe,USD
109,2904,2026-05-13,268.1,debit,POS,utilities,0,0.0,IN,659,visa,contactless,USD
110,13207,2026-10-16,214.53,debit,ONLINE,electronics,0,0.0,NY,793,mastercard,contactless,USD
111,10540,2026-03-26,39.64,debit,POS,travel,0,0.0,CA,648,mastercard,chip,USD
112,1766,2026-12-21,90.35,credit,POS,travel,0,0.0,IL,689,amex,swipe,USD
113,12235,2026-09-03,11.32,credit,POS,retail,0,0.0,NY,661,visa,chip,USD
114,12233,2026-04-25,36.71,debit,ATM,dining,0,0.0,IN,781,amex,contactless,USD
115,10459,2026-06-11,34.52,credit,ONLINE,grocery,0,0.0,GA,777,mastercard,online,USD
116,7132,2026-11-11,9.94,credit,POS,retail,0,0.0,WI,711,visa,online,USD
117,7905,2026-09-09,36.06,debit,ONLINE,fuel,0,0.0,VA,644,mastercard,swipe,USD
118,4625,2026-11-26,5.65,debit,POS,retail,0,0.0,NY,837,visa,swipe,USD
119,4086,2026-01-02,88.23,credit,POS,grocery,0,0.0,MI,698,mastercard,swipe,USD
120,8828,2026-08-12,11.3,credit,POS,grocery,0,0.0,NC,752,visa,contactless,USD
121,14998,2026-09-15,12.35,credit,POS,electronics,0,0.0,OH,608,visa,swipe,USD
122,6188,2026-08-26,11.17,debit,ONLINE,retail,0,0.0,FL,704,mastercard,online,USD
123,7646,2026-10-14,42.52,credit,ATM,utilities,0,0.0,MI,791,mastercard,online,USD
124,12713,2026-02-21,4.57,debit,POS,travel,0,0.0,VA,683,mastercard,online,USD
125,5447,2026-09-19,12.1,debit,ONLINE,utilities,0,0.0,OH,579,mastercard,chip,USD
126,8907,2026-07-20,35.03,debit,ONLINE,electronics,0,0.0,NJ,774,visa,chip,USD
127,6054,2026-07-13,89.71,debit,POS,travel,0,0.0,TX,849,visa,chip,USD
128,11324,2026-06-02,66.48,credit,POS,travel,0,0.0,MD,832,visa,online,USD
129,6800,2026-09-10,58.07,debit,POS,retail,0,0.0,AZ,814,mastercard,online,USD
130,12959,2026-11-20,14.68,credit,ONLINE,electronics,0,0.0,MO,688,discover,contactless,USD
131,8654,2026-02-03,145.64,debit,POS,travel,0,0.0,CA,607,visa,contactless,USD
132,14120,2026-04-26,128.4,credit,POS,dining,0,0.0,GA,729,mastercard,online,USD
133,4076,2026-05-21,21.99,credit,ATM,travel,0,0.0,NY,638,visa,online,USD
134,3904,2026-09-26,33.85,debit,POS,utilities,0,0.0,OH,682,visa,online,USD
135,10992,2026-12-03,16.94,credit,ATM,grocery,0,0.0,FL,831,mastercard,online,USD
136,13461,2026-04-26,41.76,debit,POS,fuel,0,0.0,MD,810,visa,chip,USD
137,7156,2026-10-13,108.15,debit,POS,grocery,0,0.0,IN,763,mastercard,swipe,USD
138,12695,2026-07-12,152.65,credit,ONLINE,retail,0,0.0,CA,656,mastercard,chip,USD
139,8380,2026-08-20,14.3,credit,ONLINE,fuel,0,0.0,GA,844,visa,chip,USD
140,6834,2026-06-19,25.85,credit,POS,fuel,0,0.0,OH,614,mastercard,chip,USD
141,11109,2026-06-13,63.59,credit,POS,retail,0,0.0,PA,759,discover,chip,USD
142,2816,2026-05-09,58.43,credit,ATM,utilities,0,0.0,NY,659,mastercard,swipe,USD
143,10780,2026-08-27,33.25,debit,POS,retail,0,0.0,IL,684,mastercard,chip,USD
144,5121,2026-07-14,26.12,credit,POS,retail,0,0.0,CA,712,mastercard,online,USD
