loan_id,customer_id,issue_date,funded_amount,total_payment,int_rate,grade,term_months,loan_status,purpose,dti,annual_income,address_state,credit_score,home_ownership,employment_length,verification_status,application_type,delinq_2yrs,open_accounts,revol_util,installment,emp_length_yrs,sub_grade,desc_len
1,13350,2026-09-23,7900.0,721.46,14.06,C,36,Current,small_business,18.01,113100.0,CA,538,MORTGAGE,8.4,Source Verified,Individual,1,12,71.9,250.3,8.4,C1,336
2,236,2026-05-23,11800.0,2403.11,7.03,A,36,Current,debt_consolidation,17.9,44200.0,CA,650,RENT,4.5,Source Verified,Individual,0,3,61.7,350.84,4.5,A3,327
3,12173,2026-06-26,11200.0,1933.15,8.85,B,36,Current,medical,18.87,97800.0,OH,699,MORTGAGE,10.9,Not Verified,Individual,0,6,17.2,338.65,10.9,B3,5
4,5193,2026-05-02,26400.0,46092.24,14.92,D,60,Fully Paid,debt_consolidation,36.18,26500.0,NC,724,MORTGAGE,0.6,Source Verified,Joint,0,22,30.1,505.64,0.6,D4,252
5,906,2026-12-16,24800.0,496.0,7.44,B,60,Current,debt_consolidation,17.31,125000.0,CA,850,MORTGAGE,2.6,Verified,Joint,0,19,24.2,444.08,2.6,B3,167
6,10956,2026-12-11,40000.0,800.0,14.93,D,60,Current,medical,21.29,86200.0,CA,819,MORTGAGE,17.8,Source Verified,Individual,0,22,29.7,766.18,17.8,D2,113
7,7814,2026-04-04,40000.0,5961.64,6.4,A,60,Current,major_purchase,20.28,207600.0,TX,753,MORTGAGE,4.9,Verified,Individual,0,10,68.5,709.35,4.9,A4,61
8,2896,2026-02-02,27800.0,5072.55,10.83,B,60,Current,home_improvement,19.22,77800.0,FL,609,MORTGAGE,7.0,Not Verified,Individual,1,11,66.0,513.49,7.0,B2,32
9,5057,2026-11-02,4100.0,224.66,3.85,A,36,Current,vacation,19.1,166600.0,NY,679,MORTGAGE,3.0,Not Verified,Individual,2,19,29.9,118.27,3.0,A3,67
10,145,2026-07-25,12400.0,1811.87,5.56,A,36,Current,debt_consolidation,26.02,26500.0,TX,639,MORTGAGE,7.6,Verified,Individual,0,17,29.5,363.58,7.6,A5,377
11,4226,2026-03-10,7400.0,2007.12,13.15,C,36,Current,credit_card,15.96,76800.0,TX,731,RENT,5.7,Source Verified,Individual,0,14,19.3,232.58,5.7,C2,263
12,7752,2026-08-11,40000.0,1880.55,14.03,C,36,Charged Off,other,12.99,104700.0,MD,713,RENT,6.4,Not Verified,Joint,0,21,7.6,1266.99,6.4,C3,49
13,10990,2026-02-01,16900.0,22080.13,10.22,C,36,Fully Paid,debt_consolidation,13.06,54600.0,FL,626,MORTGAGE,4.3,Source Verified,Individual,0,7,90.4,517.41,4.3,C3,152
14,14845,2026-03-05,15100.0,2498.74,12.31,C,60,Current,debt_consolidation,13.58,38500.0,VA,680,MORTGAGE,2.5,Verified,Individual,1,20,112.2,282.65,2.5,C1,280
15,3463,2026-10-20,40000.0,960.0,17.13,D,60,Charged Off,small_business,1.77,49700.0,CA,601,OWN,2.9,Source Verified,Individual,0,22,47.3,780.89,2.9,D2,86
16,9395,2026-07-22,12900.0,691.3,16.22,D,60,Charged Off,credit_card,16.53,126400.0,NC,635,MORTGAGE,4.6,Source Verified,Joint,0,21,44.8,249.86,4.6,D4,215
